ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7b-5p,MIMAT0000063,BAZ1B,9031,CLASH//Proteomics,18668040|23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BAZ2A,11176,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BBS7,55212,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BCAS4,55653,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BCAT1,586,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BCL7A,605,Microarray//qRT-PCR,18026111,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BCOR,54880,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BCORL1,63035,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BEND4,389206,PAR-CLIP,21572407|20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BFSP1,631,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BGLAP,632,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BIRC5,332,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BIRC6,57448,qRT-PCR,17942906,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BMP7,655,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BNIP3L,665,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BRD2,6046,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BRI3BP,140707,HITS-CLIP,23706177,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BRPF1,7862,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BRPF3,27154,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BTBD9,114781,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BTG2,7832,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BZW1,9689,PAR-CLIP,23592263|20371350|26701625,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,BZW2,28969,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C10orf118,55088,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C11ORF57,55216,PAR-CLIP,23592263|21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C11orf52,91894,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C11orf57,55216,PAR-CLIP,23592263|21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C12orf4,57102,PAR-CLIP,23446348,Breast cancerous tissues
